[2024.09.05-23.41.56:418][ 13]Log file open, 09/06/24 01:41:56
[2024.09.05-23.41.56:418][ 13]Failed Spawned Dino: Aberrant Salmon | 0.9x (Location 138658.797170, 43974.631771, -1151.762023)
[2024.09.05-23.41.56:431][ 13]Failed Spawned Dino: Aberrant Salmon | 1.1x (Location 138653.301419, 44074.480640, -1162.961907)
[2024.09.05-23.41.56:445][ 13]Failed Spawned Dino: Aberrant Salmon | 0.6x (Location 137892.917467, 43899.290033, -1167.878362)
[2024.09.05-23.41.56:454][ 13]Failed Spawned Dino: Aberrant Salmon | 1.0x (Location 137939.639381, 43810.875878, -1134.061890)
[2024.09.05-23.41.56:475][ 13]Failed Spawned Dino: Aberrant Salmon | 1.3x (Location 139539.415138, 42459.709058, -1258.871297)
[2024.09.05-23.41.56:477][ 13]Failed Spawned Dino: Aberrant Salmon | 0.7x (Location 139465.799886, 42527.390626, -1261.933761)
[2024.09.05-23.41.56:553][ 13]Failed Spawned Dino: Aberrant Salmon | 1.1x (Location 144843.423350, 13561.948400, -2825.697645)
[2024.09.05-23.41.56:565][ 13]Failed Spawned Dino: Aberrant Salmon | 0.6x (Location 144807.008296, 13655.082410, -2821.036732)
[2024.09.05-23.41.56:576][ 13]Failed Spawned Dino: Aberrant Salmon | 1.0x (Location 144879.838405, 13468.814390, -2834.450822)
[2024.09.05-23.41.56:880][ 13]Failed Spawned Dino: Aberrant Salmon | 1.2x (Location 168530.659590, 36456.904782, -9105.674762)
[2024.09.05-23.41.56:884][ 13]Failed Spawned Dino: Aberrant Salmon | 0.9x (Location 168456.040307, 36390.331795, -9076.586396)
[2024.09.05-23.41.56:895][ 13]Failed Spawned Dino: Aberrant Salmon | 0.7x (Location 168605.278873, 36523.477769, -9134.989778)
[2024.09.05-23.41.56:906][ 13]Failed Spawned Dino: Aberrant Salmon | 1.3x (Location 170695.197757, 35438.568170, -9158.009617)
[2024.09.05-23.41.56:917][ 13]Failed Spawned Dino: Aberrant Salmon | 0.8x (Location 170761.731367, 35513.222566, -9133.976647)
[2024.09.05-23.41.56:928][ 13]Failed Spawned Dino: Aberrant Salmon | 0.6x (Location 170628.664147, 35363.913774, -9173.129331)
[2024.09.05-23.41.56:963][ 13]Failed Spawned Dino: Aberrant Salmon | 0.8x (Location 169471.252262, 34181.024155, -9159.356008)
[2024.09.05-23.41.56:972][ 13]Failed Spawned Dino: Aberrant Salmon | 0.8x (Location 169394.490560, 34116.933274, -9167.418615)
[2024.09.05-23.41.57:020][ 13]Failed Spawned Dino: Aberrant Salmon | 0.6x (Location 170580.946732, 32595.712502, -9134.543029)
[2024.09.05-23.41.57:027][ 13]Failed Spawned Dino: Aberrant Salmon | 1.2x (Location 170534.097708, 32507.365635, -9135.255711)
[2024.09.05-23.41.57:038][ 13]Failed Spawned Dino: Aberrant Salmon | 0.6x (Location 170627.795757, 32684.059369, -9137.872580)
[2024.09.05-23.41.57:049][ 13]Failed Spawned Dino: Aberrant Salmon | 0.6x (Location 171388.477429, 32567.555756, -9155.070970)
[2024.09.05-23.41.57:060][ 13]Failed Spawned Dino: Aberrant Salmon | 0.6x (Location 171292.574674, 32539.224473, -9161.833966)
[2024.09.05-23.41.57:071][ 13]Failed Spawned Dino: Aberrant Salmon | 0.7x (Location 170313.824051, 32112.525217, -9126.934357)
[2024.09.05-23.41.57:082][ 13]Failed Spawned Dino: Aberrant Salmon | 0.6x (Location 170296.241069, 32210.967275, -9134.597261)
[2024.09.05-23.41.57:093][ 13]Failed Spawned Dino: Aberrant Salmon | 1.9x (Location 170331.407033, 32014.083159, -9122.117443)
[2024.09.05-23.41.57:114][ 13]Failed Spawned Dino: Aberrant Salmon | 1.2x (Location 169054.104351, 32076.604014, -9078.119513)
[2024.09.05-23.41.57:126][ 13]Failed Spawned Dino: Aberrant Salmon | 1.3x (Location 168969.774166, 32130.348036, -9067.265631)
[2024.09.05-23.41.57:137][ 13]Failed Spawned Dino: Aberrant Salmon | 0.7x (Location 169138.434536, 32022.859992, -9091.121113)
[2024.09.05-23.41.57:353][ 13]Failed Spawned Dino: Aberrant Salmon | 0.6x (Location 173972.460502, 24253.562179, -9223.616835)
[2024.09.05-23.41.57:357][ 13]Failed Spawned Dino: Aberrant Salmon | 1.2x (Location 174068.906609, 24227.139679, -9231.299490)
[2024.09.05-23.41.57:420][ 13]Failed Spawned Dino: Aberrant Salmon | 0.6x (Location 179483.454116, 6780.724353, -9072.104619)
[2024.09.05-23.41.57:423][ 13]Failed Spawned Dino: Aberrant Salmon | 0.8x (Location 179385.501126, 6800.854227, -9073.920945)
[2024.09.05-23.41.57:434][ 13]Failed Spawned Dino: Aberrant Salmon | 0.9x (Location 179581.407105, 6760.594478, -9070.288293)
[2024.09.05-23.41.57:446][ 13]Failed Spawned Dino: Aberrant Salmon | 0.6x (Location 179286.923787, 6927.224194, -9075.771822)
[2024.09.05-23.41.57:456][ 13]Failed Spawned Dino: Aberrant Salmon | 1.0x (Location 179213.882171, 6995.524430, -9077.137758)
[2024.09.05-23.41.57:478][ 13]Failed Spawned Dino: Aberrant Salmon | 0.6x (Location 179547.506059, 6948.698531, -9069.958165)
[2024.09.05-23.41.57:489][ 13]Failed Spawned Dino: Aberrant Salmon | 1.3x (Location 179457.991113, 6904.121918, -9072.602359)
[2024.09.05-23.41.57:514][ 13]Failed Spawned Dino: Aberrant Salmon | 1.4x (Location 178278.238290, 4839.128971, -9204.268197)
[2024.09.05-23.42.07:882][ 13]Failed Spawned Dino: Aberrant Salmon | 1.7x (Location 97099.342180, 4376.131295, 13374.444157)
[2024.09.05-23.42.07:893][ 13]Failed Spawned Dino: Aberrant Salmon | 1.3x (Location 97118.912904, 4474.197531, 13372.690559)
[2024.09.05-23.42.07:904][ 13]Failed Spawned Dino: Aberrant Salmon | 1.2x (Location 97079.771455, 4278.065058, 13377.764568)
[2024.09.05-23.42.07:995][ 13]Failed Spawned Dino: Aberrant Salmon | 0.9x (Location 228630.134969, 9494.600880, 41126.381471)
[2024.09.05-23.42.08:003][ 13]Failed Spawned Dino: Aberrant Salmon | 0.7x (Location 228537.431476, 9457.103383, 41113.825875)
[2024.09.05-23.42.16:260][ 13]Failed Spawned Dino: Aberrant Salmon | 1.0x (Location 18479.052199, -54865.846951, 17095.646846)
[2024.09.05-23.42.16:273][ 13]Failed Spawned Dino: Aberrant Salmon | 0.8x (Location 18445.457011, -54771.659036, 17109.406434)
[2024.09.05-23.42.18:042][ 13]Failed Spawned Dino: Aberrant Salmon | 0.5x (Location -106106.642176, 49120.196514, 6158.287677)
[2024.09.05-23.42.18:055][ 13]Failed Spawned Dino: Aberrant Salmon | 1.4x (Location -106093.425976, 49219.319327, 6167.378775)
[2024.09.05-23.42.18:066][ 13]Failed Spawned Dino: Aberrant Salmon | 1.3x (Location -106119.858376, 49021.073701, 6151.088952)
[2024.09.05-23.42.18:125][ 13]Failed Spawned Dino: Aberrant Salmon | 1.2x (Location -112746.432193, 46780.713079, 6079.389462)
[2024.09.05-23.42.18:132][ 13]Failed Spawned Dino: Aberrant Salmon | 0.6x (Location -112740.965159, 46880.563525, 6070.761115)
[2024.09.05-23.42.18:143][ 13]Failed Spawned Dino: Aberrant Salmon | 0.8x (Location -112751.899227, 46680.862633, 6087.451081)
[2024.09.05-23.42.19:037][ 13]Failed Spawned Dino: Aberrant Manta - Lvl 30 (Location -65879.249548, -224117.001068, 45532.864500)
[2024.09.05-23.42.19:056][ 13]Failed Spawned Dino: Aberrant Manta - Lvl 80 (Location -121067.296482, -273767.489033, 45505.677263)
[2024.09.05-23.42.19:068][ 13]Failed Spawned Dino: Aberrant Manta - Lvl 95 (Location -74204.675932, -138980.393406, 36729.982409)
[2024.09.05-23.42.19:077][ 13]Failed Spawned Dino: Aberrant Manta - Lvl 20 (Location -71498.097033, -139647.829894, 36900.216700)
[2024.09.05-23.42.19:088][ 13]Failed Spawned Dino: Aberrant Manta - Lvl 90 (Location 669.807825, -72663.456431, 36872.239343)
[2024.09.05-23.42.19:099][ 13]Failed Spawned Dino: Aberrant Manta - Lvl 85 (Location 3125.595749, -70356.199969, 36609.291731)
[2024.09.05-23.42.22:494][ 14]Failed Spawned Dino: Aberrant Salmon | 0.6x (Location 107574.893966, 71213.559297, 18277.363454)
[2024.09.05-23.42.22:498][ 14]Failed Spawned Dino: Aberrant Salmon | 1.3x (Location 107494.562967, 71273.115410, 18278.536634)
[2024.09.05-23.42.22:509][ 14]Failed Spawned Dino: Aberrant Salmon | 1.2x (Location 107655.224965, 71154.003184, 18277.211287)
[2024.09.05-23.42.22:592][ 14]Failed Spawned Dino: Aberrant Salmon | 1.1x (Location 77566.157210, 81391.665503, 18178.943925)
[2024.09.05-23.42.22:598][ 14]Failed Spawned Dino: Aberrant Salmon | 0.8x (Location 80056.638042, 81345.650453, 18269.000006)
[2024.09.05-23.42.22:608][ 14]Failed Spawned Dino: Aberrant Salmon | 0.9x (Location 80046.039643, 81246.213670, 18241.917402)
[2024.09.05-23.42.22:668][ 14]Failed Spawned Dino: Aberrant Salmon | 0.6x (Location 191185.416817, -36369.433689, 27796.623234)
[2024.09.05-23.42.22:674][ 14]Failed Spawned Dino: Aberrant Salmon | 1.4x (Location 191096.034764, -36324.591201, 27806.285796)
[2024.09.05-23.42.22:686][ 14]Failed Spawned Dino: Aberrant Salmon | 0.7x (Location 191274.798869, -36414.276177, 27791.616669)
[2024.09.05-23.42.22:777][ 14]Failed Spawned Dino: Aberrant Salmon | 0.5x (Location 207471.599352, -37891.562664, 27796.887999)
[2024.09.05-23.42.22:785][ 14]Failed Spawned Dino: Aberrant Salmon | 1.0x (Location 207438.546577, -37797.183037, 27785.358802)
[2024.09.05-23.42.22:796][ 14]Failed Spawned Dino: Aberrant Salmon | 1.1x (Location 207504.652127, -37985.942291, 27807.484783)
[2024.09.05-23.42.22:824][ 14]Failed Spawned Dino: Aberrant Salmon | 1.0x (Location 205329.214537, -38341.604680, 27860.731968)
[2024.09.05-23.42.22:829][ 14]Failed Spawned Dino: Aberrant Salmon | 1.1x (Location 205521.353483, -38397.126074, 27856.083510)
[2024.09.05-23.42.22:896][ 14]Failed Spawned Dino: Aberrant Salmon | 1.3x (Location 221343.646044, -6047.001987, 41115.976377)
[2024.09.05-23.42.22:907][ 14]Failed Spawned Dino: Aberrant Salmon | 0.5x (Location 221244.162026, -6057.147446, 41110.086983)
[2024.09.05-23.42.22:919][ 14]Failed Spawned Dino: Aberrant Salmon | 0.7x (Location 220611.486559, -2290.005500, 41120.797889)
[2024.09.05-23.42.22:929][ 14]Failed Spawned Dino: Aberrant Salmon | 1.2x (Location 220710.616331, -2276.841597, 41123.589743)
[2024.09.05-23.42.22:940][ 14]Failed Spawned Dino: Aberrant Salmon | 1.3x (Location 220512.356787, -2303.169402, 41110.690246)
[2024.09.05-23.42.22:951][ 14]Failed Spawned Dino: Aberrant Salmon | 0.9x (Location 219070.265483, -878.900752, 40948.364174)
[2024.09.05-23.42.22:962][ 14]Failed Spawned Dino: Aberrant Salmon | 1.3x (Location 219108.184788, -786.368993, 40949.559785)
[2024.09.05-23.42.23:058][ 14]Failed Spawned Dino: Aberrant Salmon | 1.1x (Location 23090.714656, -56847.981305, 17022.214305)
[2024.09.05-23.42.23:061][ 14]Failed Spawned Dino: Aberrant Salmon | 1.0x (Location 23110.134926, -56749.885163, 17015.395893)
[2024.09.05-23.42.23:072][ 14]Failed Spawned Dino: Aberrant Salmon | 0.7x (Location 23071.294386, -56946.077447, 17030.611203)
[2024.09.05-23.42.23:091][ 14]Failed Spawned Dino: Aberrant Salmon | 0.9x (Location 34054.061261, -50677.681857, 11249.484313)
[2024.09.05-23.42.23:107][ 14]Failed Spawned Dino: Aberrant Salmon | 1.1x (Location 22468.219613, -50038.300659, 17105.490337)
