[2024.09.07-04.11.33:722][164]Log file open, 09/07/24 06:11:33
[2024.09.07-04.11.33:723][164]Failed Spawned Dino: Aberrant Manta - Lvl 10 (Location -6016.516758, -182070.888463, 36876.020688)
[2024.09.07-04.11.47:915][582]Failed Spawned Dino: Aberrant Manta - Lvl 15 (Location -27312.186263, -105011.036502, 36907.974243)
[2024.09.07-04.11.48:015][585]Failed Spawned Dino: Aberrant Manta - Lvl 110 (Location -103306.730727, -128385.073941, 36918.510463)
[2024.09.07-04.11.53:587][747]Failed Spawned Dino: Aberrant Manta - Lvl 15 (Location -37283.083141, -109048.810155, 36794.591046)
[2024.09.07-04.11.56:614][837]Failed Spawned Dino: Aberrant Manta - Lvl 80 (Location -88915.195511, -108104.924299, 36693.606460)
[2024.09.07-04.12.03:154][  0]Failed Spawned Dino: Aberrant Manta - Lvl 105 (Location -61188.738359, -117965.389408, 36597.641158)
[2024.09.07-04.12.03:287][  4]Failed Spawned Dino: Aberrant Manta - Lvl 25 (Location -144179.159679, -109545.044007, 36629.684577)
[2024.09.07-04.12.08:106][ 72]Failed Spawned Dino: Aberrant Cnidaria (Location -197860.364810, -3606.746225, 34034.314383)
[2024.09.07-04.12.23:424][486]Failed Spawned Dino: Aberrant Manta - Lvl 35 (Location -3943.809003, -179762.664672, 36786.635387)
[2024.09.07-04.12.31:409][722]Failed Spawned Dino: Aberrant Cnidaria (Location -201110.698336, -991.163630, 34087.742254)
[2024.09.07-04.12.39:997][974]Failed Spawned Dino: Aberrant Manta - Lvl 10 (Location -102608.699101, -124079.892732, 36675.262170)
[2024.09.07-04.12.42:856][ 57]Failed Spawned Dino: Aberrant Manta - Lvl 70 (Location -42475.546089, -115310.306564, 36739.338863)
[2024.09.07-04.12.44:655][109]Failed Spawned Dino: Aberrant Salmon | 1.3x (Location 91994.246942, -6229.300690, 11270.851939)
[2024.09.07-04.12.44:658][109]Failed Spawned Dino: Aberrant Salmon | 1.2x (Location 91915.804429, -6167.278337, 11269.484160)
[2024.09.07-04.12.44:669][109]Failed Spawned Dino: Aberrant Salmon | 0.6x (Location 92072.689454, -6291.323043, 11267.687612)
[2024.09.07-04.12.45:828][142]Failed Spawned Dino: Aberrant Manta - Lvl 40 (Location -94547.227610, -112906.743647, 36694.074400)
[2024.09.07-04.12.52:340][300]Failed Spawned Dino: Aberrant Manta - Lvl 125 (Location -25075.209137, -97253.423164, 36949.853568)
[2024.09.07-04.12.52:416][301]Failed Spawned Dino: Aberrant Manta - Lvl 85 (Location -57475.610692, -116639.041417, 36588.733097)
[2024.09.07-04.12.52:601][304]Failed Spawned Dino: Aberrant Manta - Lvl 25 (Location -127850.631499, -123332.659047, 36682.007961)
[2024.09.07-04.12.52:686][305]Failed Spawned Dino: Aberrant Manta - Lvl 85 (Location -135590.732150, -120132.042976, 36649.193784)
[2024.09.07-04.13.09:458][622]Failed Spawned Dino: Aberrant Manta - Lvl 30 (Location -12454.424819, -179484.607990, 36887.007890)
[2024.09.07-04.13.30:194][ 90]Failed Spawned Dino: Aberrant Salmon | 0.6x (Location 92032.015011, -3178.037032, 11325.576617)
[2024.09.07-04.13.30:205][ 90]Failed Spawned Dino: Aberrant Salmon | 0.6x (Location 91936.771957, -3208.512608, 11342.836524)
[2024.09.07-04.13.30:216][ 90]Failed Spawned Dino: Aberrant Salmon | 1.1x (Location 92127.258064, -3147.561456, 11309.599520)
[2024.09.07-04.13.31:856][123]Failed Spawned Dino: Aberrant Manta - Lvl 80 (Location -38891.649881, -113248.914708, 36935.355869)
[2024.09.07-04.13.32:031][126]Failed Spawned Dino: Aberrant Manta - Lvl 105 (Location -92640.154305, -115795.368652, 36703.678798)
[2024.09.07-04.13.40:113][292]Failed Spawned Dino: Aberrant Manta - Lvl 30 (Location -108749.921592, -133119.980697, 36689.077891)
[2024.09.07-04.13.40:172][293]Failed Spawned Dino: Aberrant Manta - Lvl 55 (Location -127359.188020, -123016.932481, 36682.007961)
[2024.09.07-04.13.40:226][294]Failed Spawned Dino: Aberrant Manta - Lvl 10 (Location -133501.642561, -120148.894911, 36639.894405)
[2024.09.07-04.13.43:770][371]Failed Spawned Dino: Aberrant Manta - Lvl 55 (Location -55709.599974, -120097.658904, 36575.194717)
[2024.09.07-04.13.47:176][451]Failed Spawned Dino: Aberrant Manta - Lvl 60 (Location -21304.291356, -96075.510873, 36694.143214)
[2024.09.07-04.13.50:442][527]Failed Spawned Dino: Aberrant Salmon | 0.9x (Location 110794.562278, 5567.344211, 13389.709223)
[2024.09.07-04.13.50:451][527]Failed Spawned Dino: Aberrant Salmon | 1.0x (Location 110825.844880, 5472.363166, 13395.827605)
[2024.09.07-04.13.58:740][697]Failed Spawned Dino: Aberrant Manta - Lvl 135 (Location -6756.866715, -177854.427606, 36933.506131)
[2024.09.07-04.14.21:145][109]Failed Spawned Dino: Aberrant Manta - Lvl 55 (Location -42062.824820, -105980.265323, 36953.266201)
[2024.09.07-04.14.21:322][112]Failed Spawned Dino: Aberrant Manta - Lvl 100 (Location -89043.972388, -117629.259147, 36642.504911)
[2024.09.07-04.14.29:302][273]Failed Spawned Dino: Aberrant Manta - Lvl 135 (Location -54553.798147, -118437.740181, 36898.195012)
[2024.09.07-04.14.29:416][275]Failed Spawned Dino: Aberrant Manta - Lvl 55 (Location -104543.530342, -124810.970582, 36930.429894)
[2024.09.07-04.14.29:498][276]Failed Spawned Dino: Aberrant Manta - Lvl 55 (Location -117250.926095, -134236.871476, 36701.522749)
[2024.09.07-04.14.29:549][277]Failed Spawned Dino: Aberrant Manta - Lvl 60 (Location -142706.194766, -112098.116241, 36951.519817)
[2024.09.07-04.14.33:537][356]Failed Spawned Dino: Aberrant Manta - Lvl 110 (Location -23309.653446, -103718.606161, 36920.818022)
[2024.09.07-04.14.44:783][597]Failed Spawned Dino: Aberrant Manta - Lvl 25 (Location -1525.270620, -181987.620051, 36763.988395)
[2024.09.07-04.15.00:197][916]Failed Spawned Dino: Aberrant Cnidaria (Location -201250.094641, -2005.043942, 34023.133569)
[2024.09.07-04.15.03:583][999]Failed Spawned Dino: Aberrant Cnidaria (Location -198433.077378, -3865.661163, 33915.955314)
[2024.09.07-04.15.07:737][ 90]Failed Spawned Dino: Aberrant Manta - Lvl 5 (Location -38360.618228, -112819.685276, 36947.431679)
[2024.09.07-04.15.07:910][ 93]Failed Spawned Dino: Aberrant Manta - Lvl 50 (Location -88719.527994, -113748.350577, 36919.172269)
[2024.09.07-04.15.16:164][253]Failed Spawned Dino: Aberrant Manta - Lvl 140 (Location -51761.216616, -121972.192584, 36588.671398)
[2024.09.07-04.15.16:316][256]Failed Spawned Dino: Aberrant Manta - Lvl 65 (Location -129320.866254, -123810.461760, 36707.914433)
[2024.09.07-04.15.16:378][257]Failed Spawned Dino: Aberrant Manta - Lvl 10 (Location -133577.178699, -119835.150868, 36639.894405)
[2024.09.07-04.15.20:132][333]Failed Spawned Dino: Aberrant Manta - Lvl 115 (Location -23708.268455, -99566.225076, 36715.805169)
[2024.09.07-04.15.20:273][336]Failed Spawned Dino: Aberrant Manta - Lvl 125 (Location -100189.250665, -121504.516139, 36949.570987)
[2024.09.07-04.15.35:014][657]Failed Spawned Dino: Aberrant Manta - Lvl 100 (Location -4167.689037, -180468.465346, 36755.212227)
[2024.09.07-04.15.55:893][ 60]Failed Spawned Dino: Aberrant Cnidaria (Location -202623.635775, -806.762007, 34048.853042)
[2024.09.07-04.15.56:326][ 69]Failed Spawned Dino: Aberrant Manta - Lvl 145 (Location -90446.405564, -110846.838684, 36655.421117)
[2024.09.07-04.16.00:284][146]Failed Spawned Dino: Aberrant Manta - Lvl 70 (Location -41721.544454, -104934.452169, 36949.807032)
[2024.09.07-04.16.04:520][229]Failed Spawned Dino: Aberrant Manta - Lvl 60 (Location -55237.268487, -123517.121064, 36946.644161)
[2024.09.07-04.16.04:688][232]Failed Spawned Dino: Aberrant Manta - Lvl 60 (Location -129254.885224, -123512.082275, 36696.428072)
